lat,lon,date,n_grouped,pf_observed,pf_depth,obs_depth,obs_limit,source,transect_point,org_thick,rock,Soil Type,rocky/silty,Wildfire,Widlfire date/name,Burn Year,Canopy and Surface
63.15440485531035,-117.23101990344831,2019-08-15,145,1,,,,Bonaventure_Whati,,,,,,,,,
66.26713080131599,-150.3496964771416,2016-09-02,25,0,108.7,147.1818181818182,137.96,Minsley_2017,,6.636363636363637,,,,,,,
65.82426480036365,-149.60142873818182,2015-02-23,55,1,93.17021276595744,111.54545454545455,132.0,Minsley_2015,,10.526315789473685,,,,,,,
65.77196002418309,-149.40321241831754,2015-11-12,162,1,119.83333333333333,120.34615384615384,131.5,Minsley_2015,,9.03448275862069,,,,,,,
65.882,-149.66733319999997,2008-08-17,5,1,54.6,92.0,,Pastick,,16.0,N,,,,,,
65.5690199005732,-148.9250360844834,2014-06-10,243,1,52.019204389574774,51.14799446749654,132.87719298245614,Schaefer_2020,,6.85,,,,,,,
65.34074438499813,-146.91477980987702,2014-02-24,226,1,35.16275430359936,36.88786482334869,130.525,Schaefer_2020,,13.555555555555555,,,,,,,
65.2424477443835,-148.1281877185098,2016-04-20,77,1,55.357142857142854,65.64615384615385,131.1038961038961,Minsley_2017,,14.813559322033898,,,,,,,
60.194365000000005,-116.664905,1990-08-15,4,0,,,,Holloway_2019,,16.5,,Sand and gravel,,,,,"Poplar, birch, spruce, jack pine"
60.27525,-116.56372666666668,1990-08-15,6,1,100.0,100.0,,Holloway_2019,,43.833333333333336,,"Silt, sand, clay",,,,,"Spruce, willow, birch, tamarack; moss, lab tea, sedge, wet"
60.33794,-116.46609,1990-08-15,2,0,69.0,69.0,,Holloway_2019,,153.0,,Scattered stones,,,,,"Spruce, jack pine, poplar; moss, willow"
60.429155,-116.35355,1990-08-15,4,0,67.5,67.5,,Holloway_2019,,52.333333333333336,,"Clay, silt, some stones",,,,,"Jack pine, poplar; forest litter"
60.47643,-116.32198,1990-08-15,4,0,99.0,99.0,,Holloway_2019,,60.25,,"Silt, sand, some stones",,,,,"Tamarack, willow, spruce; sedge, moss, wet"
60.50204666666667,-116.27551,1990-08-15,6,0,101.5,101.5,,Holloway_2019,,40.25,,"Sand, silt, clay, some stones",,,,,"Spruce, tamarack, willow; Wet moss"
60.55503,-116.15326,1990-08-15,2,0,,,,Holloway_2019,,20.0,,Sand,,,,,"Spruce, jack pine, tamarack; Moss, lichen, sedge"
60.59406,-116.09645250000001,1990-08-15,8,0,113.0,113.0,,Holloway_2019,,43.0,,Sand,,,,,"Poplar, jack pine, spruce"
60.66999,-115.983745,1990-08-15,4,1,57.0,57.0,,Holloway_2019,,55.5,,,,,,,"Spruce, tamarack, willow; grass, labrador tea, moss"
60.711796666666665,-115.89590000000003,1990-08-15,6,0,115.0,115.0,,Holloway_2019,,30.333333333333332,,Sand and gravel,,,,,"Poplar, spruce, tamarack; Moss, willow, lab tea"
60.75907,-115.8616,1990-08-15,2,1,66.5,66.5,,Holloway_2019,,88.0,,"Clay, silt, with some stones",,,,1971,"Spruce; moss, lab tea, willow, birch."
60.8169,-115.794295,1962-08-15,2,0,,,,Holloway_2019,,,,,,,,,"Jack pine, poplar, spruce"
59.35570666666666,-117.32839333333334,1990-08-15,6,1,91.0,91.0,,Holloway_2019,,99.2,,"Clay, Silt",,,,2012,"Spruce, birch; hummocky sphagnum and moss, lab tea, horsetails, peat plateau "
59.42705500000001,-117.258265,1990-08-15,4,1,88.5,88.5,,Holloway_2019,,75.33333333333333,,"Silt, clay",,,,2007,"Spruce; hummocky sphagnum and moss, lab tea"
59.53539,-117.18638,1990-08-15,4,1,62.0,62.0,,Holloway_2019,,69.5,,"Silt, clay",,,,,"Spruce; hummocky moss, lab tea, lichen"
59.603142000000005,-117.180464,1990-08-15,10,1,111.42857142857143,111.42857142857143,,Holloway_2019,,54.111111111111114,,Sand,,,,,Spruce; sphagnum
59.70655,-117.119505,1990-08-15,4,0,85.5,85.5,,Holloway_2019,,50.666666666666664,,Sand and gravel,,,,,"Poplar, spruce"
59.789814,-117.062886,1990-08-15,10,1,73.14285714285714,73.14285714285714,,Holloway_2019,,70.22222222222223,,"Clay, silt",,,,2012,Spruce; hummocky sphangum
59.89739571428572,-117.03996285714285,1990-08-15,14,1,88.5,88.5,,Holloway_2019,,53.46153846153846,,"Clay, silt",,,,,"Spruce; hummocky sphagnum, lichen, lab tea"
59.944711999999996,-117.024935,1985-01-07,10,1,61.2,61.2,,Holloway_2019,,61.0,,,,,,,Spruce; hummocky sphagnum
59.9962,-116.9896,1990-08-15,2,1,57.0,57.0,,Holloway_2019,,85.5,,"Clay, silt, sand",,,,,"Spruce; hummocky sphagnum and moss, lichen, lab tea, cranberry"
60.03948,-116.87433,1990-08-15,2,1,65.5,65.5,,Holloway_2019,,128.5,,"Clay, silt",,,,,"Spruce, tamarack, jack pine; hummocky sphagnum, lichen, lab tea"
60.10029,-116.76576,1990-08-15,2,0,,,,Holloway_2019,,27.0,,"Organic sand, silt, clay",,,,,"Poplar, birch, spruce, tamarack, willow; moss, lab tea"
59.15222,-117.62243333333333,1990-08-15,6,1,64.0,64.0,,Holloway_2019,,68.0,,"Silt, sand, gravel",,,,,"Spruce; sphagnum, moss"
59.20103,-117.53072,1990-08-15,2,0,61.0,61.0,,Holloway_2019,,43.0,,"Clay, sand, gravel",,,,,Grass
58.968680000000006,-117.60813999999999,1990-08-15,6,0,61.0,61.0,,Holloway_2019,,77.25,,Gravel,,,,,"Poplar, jack pine, spruce"
58.79031,-117.39533,1990-08-15,2,1,127.5,127.5,,Holloway_2019,,97.0,,Gravel,,,,,"Spruce, tamarack; sphagnum, sedge, lab tea, cranberry, cloudberry"
58.00439,-117.19946,1990-08-15,2,0,76.0,76.0,,Holloway_2019,,131.5,,"Sand, organics",,,,,"Spruce; hummocky sphagnum, lichen, lab tea"
57.78849,-117.689978,1985-01-07,5,1,86.33333333333333,86.33333333333333,,Holloway_2019,,76.0,,,,,,,Spruce; sphagnum
64.69854282266408,-148.31964908224072,2017-12-05,775,1,77.6492403932082,69.7326565143824,149.14754098360655,James_2019,1.0,11.079365079365079,,,,,,,
64.75224435757515,-148.11624147137172,2014-04-03,110,1,88.63636363636364,112.61818181818182,132.0,Minsley_2015,1.0,12.1875,,,,,,,
64.74816223759734,-147.96383873556107,1998-01-10,43,0,18.046511627906977,101.90697674418605,,Pastick,4.0,19.186046511627907,N,,,,,,
64.75495114183828,-147.79954807098767,1997-08-14,17,1,38.411764705882355,77.41176470588235,,Pastick,4.0,27.705882352941178,N,,,,,,
64.83080425531254,-148.43825524861128,2003-07-04,6,1,42.166666666666664,79.33333333333333,,Pastick,2.0,25.833333333333332,N,,,,,,
64.82106438194866,-148.1318428540959,2002-07-18,38,0,12.157894736842104,78.8157894736842,,Pastick,3.0,14.263157894736842,Y,,,,,,
64.83036044298318,-147.96355204253194,2006-12-12,14,0,27.90909090909091,101.92857142857143,101.0,Pastick,2.0,13.555555555555555,N,,,,,,
64.86830945512617,-147.73865282226922,2014-03-16,167,1,59.75654191217564,62.942170654690614,,Schaefer_2020,1.0,7.75,N,,,,,,
64.83924822560797,-147.62535119136916,1997-07-27,7,0,0.0,118.28571428571429,,Pastick,1.0,10.0,N,,,,,,
64.89242284355853,-148.37068878359187,2003-06-19,3,0,16.0,67.33333333333333,,Pastick,4.0,34.333333333333336,Y,,,,,,
64.89624389640431,-148.11084018575664,2002-09-15,27,0,18.296296296296298,73.96296296296296,,Pastick,2.0,11.185185185185185,Y,,,,,,
64.8973578803861,-148.05910742533848,2002-09-12,5,0,0.0,84.6,,Pastick,1.0,12.0,Y,,,,,,
64.890636235305,-147.75889916286025,2016-09-08,396,1,69.92041748266261,66.53089406844066,31.153246753246755,Schaefer_2020,9.0,10.5,,,,,,,
64.95098618009804,-147.6153705137255,2016-08-16,102,1,69.05882352941177,69.05882352941177,101.0,Schaefer_2020,,,,,,,,,
65.02957686333332,-147.69929554761907,2021-09-14,21,1,63.5625,79.85714285714286,132.0,Minsley_2021,,,,,,,,,
65.65681906923076,-156.47290696923076,2018-07-08,104,0,,,,Koyukuk_2018,,,,,,,,,
65.67970779784315,-156.37291033137254,2018-07-08,51,0,,,,Koyukuk_2018,,,,,,,,,
65.74851270238638,-156.5127665147727,2018-07-08,88,0,,,,Koyukuk_2018,,,,,,,,,
65.72766029704545,-156.2802483477273,2018-07-08,44,1,61.26,61.26,100.0,Koyukuk_2018,,,,,,,,,
65.84032555376471,-156.32042538235297,2018-07-08,85,0,,,,Koyukuk_2018,,,,,,,,,
66.17172612285714,-150.2073255761905,2015-08-29,21,0,129.2,162.28571428571428,132.0,Minsley_2015,,8.904761904761905,,,,,,,
66.43107444352272,-150.56141636704547,2015-12-25,88,1,45.81818181818182,45.81818181818182,132.0,Minsley_2015,,37.83783783783784,,,,,,,
67.09008110348147,-150.34998180814813,2014-11-16,135,1,48.925925925925924,48.925925925925924,132.0,Schaefer_2020,,40.0,,,,,,,
68.49333270047374,-149.50015098712927,2014-12-10,4180,1,48.586720893142015,48.59270175438597,101.0,Schaefer_2020,,,,,,,,,
68.63790933513107,-149.4650448318097,2014-04-02,15030,1,48.15441129461856,48.15786375441166,131.6172839506173,Schaefer_2020,,15.15,,,,,,,
68.65134036065434,-149.24613688371733,2014-10-02,3820,1,47.110041884816894,47.11004188481676,,Schaefer_2020,,,,,,,,,
68.65836110940634,-149.24347404134434,2014-08-13,4835,1,44.172357807653086,44.17235780765254,,Schaefer_2020,,,,,,,,,
64.21293791414865,-149.33252201897878,2002-04-14,61,0,10.524590163934427,78.37704918032787,,Pastick,5.0,11.78688524590164,N,,,,,,
64.2146303789584,-149.14440491858895,2003-08-09,15,0,21.066666666666666,81.2,,Pastick,3.0,15.933333333333334,N,,,,,,
64.30494532693203,-149.1563033015877,2003-07-27,9,0,14.88888888888889,111.55555555555556,,Pastick,1.0,9.222222222222221,N,,,,,,
64.35923848262887,-149.12141594624808,2003-08-08,16,0,18.5,90.375,,Pastick,1.0,28.375,N,,,,,,
64.39709086050001,-149.01062483,2015-08-29,20,1,107.0,147.44444444444446,132.0,Minsley_2015,,11.882352941176471,,,,,,,
65.65391415815286,-149.08938719171974,2017-05-31,157,1,82.875,91.45859872611464,132.0,Minsley_2017,,8.516129032258064,,,,,,,
66.89780788,-150.51982676,2016-09-07,25,1,73.3125,136.92,132.0,Minsley_2017,,30.0,,,,,,,
65.50144018421051,-150.17687855263156,2008-06-21,38,0,32.18421052631579,118.92105263157895,,Pastick,,9.894736842105264,N,,,,,,
65.66993607692308,-149.78774573076925,2008-07-05,26,1,36.26923076923077,90.6923076923077,,Pastick,,12.192307692307692,N,,,,,,
