lat,lon,date,n_grouped,pf_observed,pf_depth,obs_depth,obs_limit,source,transect_point,org_thick,rock,Soil Type,rocky/silty,Wildfire,Widlfire date/name,Burn Year,Canopy and Surface
63.14888143326733,-117.25366849504952,2019-08-15,101,1,,,,Bonaventure_Whati,,,,,,,,,
63.16431249151517,-117.15353069696968,2019-08-15,33,1,,,,Bonaventure_Whati,,,,,,,,,
63.176486877500004,-117.29734037499999,2019-08-15,8,1,,,,Bonaventure_Whati,,,,,,,,,
63.17249067333333,-117.144044,2019-08-15,3,1,,,,Bonaventure_Whati,,,,,,,,,
66.26713080131599,-150.3496964771416,2016-09-02,25,0,108.7,147.1818181818182,137.96,Minsley_2017,,6.636363636363637,,,,,,,
65.82620466666667,-149.53213,2008-08-18,3,1,74.0,93.33333333333333,,Pastick,,10.333333333333334,N,,,,,,
65.882,-149.66733319999997,2008-08-17,5,1,54.6,92.0,,Pastick,,16.0,N,,,,,,
65.80080577538364,-149.4370551929524,2016-09-03,33,1,55.515151515151516,55.65625,129.54545454545453,Minsley_2017,,7.625,,,,,,,
65.7645808785271,-149.39455496434107,2015-08-29,129,0,137.08943089430895,137.04032258064515,132.0,Minsley_2015,,9.26,,,,,,,
65.82411994156864,-149.60562028627453,2015-08-29,51,1,95.46511627906976,113.52941176470588,132.0,Minsley_2015,,10.235294117647058,,,,,,,
65.57196660283158,-148.92666039391017,2016-09-04,28,1,85.67857142857143,80.1923076923077,133.78571428571428,Minsley_2017,,6.85,,,,,,,
65.57219405034483,-148.92655817241382,2017-08-11,29,1,59.10344827586207,59.10344827586207,132.0,Minsley_2017,,,,,,,,,
65.5680814166667,-148.92455425,2013-08-11,186,1,45.84767025089605,45.84767025089605,,Schaefer_2020,,,,,,,,,
65.3433017377397,-146.91333393830544,2016-08-31,40,1,82.85185185185185,88.7741935483871,130.525,Minsley_2017,,13.555555555555555,,,,,,,
65.34019441666663,-146.91509074999996,2013-08-11,186,1,28.240143369175623,28.240143369175623,,Schaefer_2020,,,,,,,,,
65.23103932273526,-148.12458444766418,2016-08-30,32,1,61.36842105263158,74.69565217391305,129.84375,Minsley_2017,,17.53846153846154,,,,,,,
65.22938107107143,-148.1266300714286,2015-08-29,28,1,50.2962962962963,50.2962962962963,132.0,Minsley_2015,,12.962962962962964,,,,,,,
60.566520000000004,-116.12665333333332,1962-08-15,3,0,113.0,113.0,,Holloway_2019,,55.666666666666664,,Sand,,,,,Spruce and tamarack; hummocky sphagnum
60.566520000000004,-116.12665333333332,2018-08-15,3,0,,,,Holloway_2019,,27.666666666666668,,Sand,,,,,"Spruce and tamarack; hummocky moss, grass, lab tea, lichen, birch"
60.615854999999996,-116.079555,1962-08-15,2,0,,,,Holloway_2019,,61.0,,Sand,,,,,"Spruce, tamarack; hummocky sphagnum"
60.615854999999996,-116.079555,2018-08-15,2,0,,,,Holloway_2019,,15.0,,Sand,,,,,"Spruce, tamarack; hummocky sphagnum, lichen, lab tea"
60.711796666666665,-115.8959,1962-08-15,3,0,84.0,84.0,,Holloway_2019,,,,Sand and gravel,,,,,"Poplar, jack pine, spruce"
60.711796666666665,-115.8959,2018-08-15,3,0,146.0,146.0,,Holloway_2019,,30.333333333333332,,Sand and gravel,,,,,"Poplar, spruce, tamarack; Moss, willow, lab tea"
60.429155,-116.35355,1962-08-15,2,0,84.0,84.0,,Holloway_2019,,91.0,,"Clay, silt, some stones",,,,,"Jack pine, poplar; Forest litter"
60.429155,-116.35355,2018-08-15,2,0,51.0,51.0,,Holloway_2019,,33.0,,"Clay, silt, some stones",,,,,"Jack pine, poplar; forest litter"
60.484607499999996,-116.3104075,1962-08-15,4,1,60.0,60.0,,Holloway_2019,,59.333333333333336,,"Organic, sand, silt, clay",,,,,"Spruce and tamarack; Peat plateau with hummocky moss, lichen, and labrador tea"
60.484607499999996,-116.3104075,2018-08-15,4,1,140.5,140.5,,Holloway_2019,,52.0,,"Organic, sand, silt, clay",,,,,"Spruce and tamarack; moss, horsetails, willow"
60.27525,-116.56372666666668,1962-08-15,3,1,90.33333333333333,90.33333333333333,,Holloway_2019,,40.333333333333336,,"Silt, sand, clay",,,,,"Spruce; hummocky sphagnum, lichen, lab tea"
60.27525,-116.56372666666668,2018-08-15,3,0,129.0,129.0,,Holloway_2019,,47.333333333333336,,"Silt, sand, clay",,,,,"Spruce, willow, birch, tamarack; moss, lab tea, sedge, wet"
60.194365000000005,-116.664905,1962-08-15,2,0,,,,Holloway_2019,,,,Sand and gravel,,,,,"Poplar, birch, jack pine"
60.194365000000005,-116.664905,2018-08-15,2,0,,,,Holloway_2019,,16.5,,Sand and gravel,,,,,"Poplar, birch, spruce, jack pine"
59.75310666666667,-117.08078666666665,1962-08-15,3,0,,,,Holloway_2019,,23.0,,Clay,,,,,"Poplar, jack pine, spruce"
59.75310666666667,-117.08078666666665,2018-08-15,3,0,144.0,144.0,,Holloway_2019,,20.666666666666668,,Clay,,,,,"Poplar, spruce; forest litter"
59.80958333333333,-117.05339333333332,1962-08-15,3,1,66.0,66.0,,Holloway_2019,,101.66666666666667,,"Clay, silt",,,,2012,Spruce; hummocky sphangum
59.80958333333333,-117.05339333333332,2018-08-15,3,1,56.666666666666664,56.666666666666664,,Holloway_2019,,85.66666666666667,,"Clay, silt",,,,2012,"Spruce, tamarack; hummocky sphagnum, lichen, lab tea"
59.893795,-117.04233500000001,1962-08-15,4,0,61.0,61.0,,Holloway_2019,,64.25,,"Silt, clay",,,,,"Spruce, tamarack; moss, lichen"
59.893795,-117.04233500000001,2018-08-15,4,0,79.0,79.0,,Holloway_2019,,30.25,,"Silt, clay",,,,,"Spruce, tamarack, poplar; moss, licen, grass, rose "
59.93979625000001,-117.02760750000002,1962-08-15,8,1,65.5,65.5,,Holloway_2019,,76.0,,"Clay, silt",,,,,Spruce; hummocky sphagnum
59.937755,-117.02842500000001,2018-08-15,6,1,57.0,57.0,,Holloway_2019,,54.6,,"Clay, silt",,,,,"Spruce; hummocky sphagnum, lichen, lab tea"
59.53539,-117.18638,1962-08-15,2,0,61.0,61.0,,Holloway_2019,,94.0,,"Silt, clay",,,,,"Spruce; hummocky sphagnum, lab tea, wet"
59.53539,-117.18638,2018-08-15,2,1,63.0,63.0,,Holloway_2019,,45.0,,"Silt, clay",,,,,"Spruce; hummocky moss, lab tea, lichen"
59.603142000000005,-117.180464,1962-08-15,5,1,128.0,128.0,,Holloway_2019,,78.75,,Sand,,,,,Spruce; sphagnum
59.603142000000005,-117.180464,2018-08-15,5,1,70.0,70.0,,Holloway_2019,,34.4,,Sand,,,,,"Spruce, hummocky sphagnum, moss, lab tea, lichen"
59.391,-117.29753,1962-08-15,3,1,61.0,61.0,,Holloway_2019,,61.0,,Gravel and  clay,,,,2012,
59.391,-117.29753,2018-08-15,3,0,116.0,116.0,,Holloway_2019,,27.666666666666668,,Gravel and  clay,,,,2012,"Poplar, willow; moss, fire weed"
59.1968,-117.540295,1962-08-15,2,1,61.0,61.0,,Holloway_2019,,61.0,,"Clay, sand, gravel",,,,,"Sphagnum, lichen, lab tea"
59.1968,-117.540295,2018-08-15,2,0,65.0,65.0,,Holloway_2019,,37.5,,"Clay, sand, gravel",,,,,Grass
57.78849333333333,-117.69006999999999,1962-08-15,3,1,86.33333333333333,86.33333333333333,,Holloway_2019,,100.66666666666667,,,,,,,Spruce; sphagnum
57.788484999999994,-117.68984,2018-08-15,2,0,,,,Holloway_2019,,2.0,,,,,,,"Spruce; sphagnum, lichen, lab tea"
60.8169,-115.794295,1962-08-15,2,0,,,,Holloway_2019,,,,,,,,,"Jack pine, poplar, spruce"
64.73127043103241,-148.01738303188682,1997-07-30,5,0,20.0,78.8,,Pastick,10.0,21.2,N,,,,,,
64.72367892541382,-147.91704294942528,1997-07-30,4,0,0.0,110.0,,Pastick,7.0,68.5,N,,,,,,
64.75766552252648,-148.35558510672536,2003-07-03,4,0,10.25,47.75,,Pastick,2.0,13.25,Y,,,,,,
64.75500719322487,-147.93696825383213,1997-07-25,15,0,17.666666666666668,102.86666666666666,,Pastick,4.0,12.866666666666667,N,,,,,,
64.75279323682926,-147.82190049126388,1997-08-17,16,1,38.0,83.3125,,Pastick,4.0,21.3125,N,,,,,,
64.76665301138493,-147.76403745806942,1997-08-07,4,1,26.5,71.5,,Pastick,4.0,38.75,N,,,,,,
64.80610033815441,-148.22366926933097,2002-07-29,4,0,0.0,113.5,,Pastick,4.0,10.5,Y,,,,,,
64.80345028325183,-148.15034441606798,2002-07-06,17,0,14.352941176470589,77.88235294117646,,Pastick,4.0,17.294117647058822,Y,,,,,,
64.8073661274055,-148.06690250866228,2002-06-23,7,0,16.571428571428573,84.28571428571429,,Pastick,3.0,12.571428571428571,Y,,,,,,
64.78442347554882,-147.90458797834978,1997-07-19,2,0,0.0,140.0,,Pastick,16.0,9.0,N,,,,,,
64.84711989889806,-148.11614907182454,2002-08-11,7,0,8.0,76.57142857142857,,Pastick,3.0,13.571428571428571,Y,,,,,,
64.84691874126915,-148.06666878805055,2002-07-21,10,0,15.3,73.8,,Pastick,6.0,12.7,Y,,,,,,
64.89242284355853,-148.37068878359187,2003-06-19,3,0,16.0,67.33333333333333,,Pastick,4.0,34.333333333333336,Y,,,,,,
64.88516408493452,-148.12928928729298,2002-09-12,10,0,16.2,51.9,,Pastick,2.0,13.7,Y,,,,,,
64.8800702542826,-148.0713421743175,2002-09-08,12,0,5.416666666666667,66.41666666666667,,Pastick,2.0,12.25,Y,,,,,,
64.92833111939743,-148.10146122877785,2002-08-28,8,0,33.375,111.875,,Pastick,5.0,7.875,N,,,,,,
64.6960571820277,-148.32236046543775,2018-08-10,434,1,91.28341013824885,,157.0,James_2019,,,,,,,,,
64.69611100000002,-148.32233612499994,2019-08-07,144,1,59.9375,,157.0,James_2019,,,,,,,,,
64.69587933333334,-148.3255368333333,2013-08-11,93,1,43.35842293906811,43.3584229390681,,Schaefer_2020,,,,,,,,,
64.71421767895117,-148.34095600892414,2003-07-08,5,0,12.8,107.0,,Pastick,1.0,16.2,N,,,,,,
64.71215133333334,-148.2956414666667,2016-09-12,15,1,105.92857142857143,105.53333333333333,127.86666666666666,Minsley_2017,,,,,,,,,
64.71230309090907,-148.29659390909094,2019-09-02,22,0,70.81818181818181,36.40909090909091,1.0,James_2020,,,,,,,,,
64.71230427954545,-148.29658303636367,2021-09-12,22,1,73.0,99.81818181818181,132.0,Minsley_2021,,11.0,,,,,,,
64.7314709644199,-148.24009351078044,2002-08-14,2,1,54.0,54.0,,Pastick,1.0,15.5,N,,,,,,
64.71256690919304,-148.28062475317245,2003-07-09,2,0,0.0,140.0,,Pastick,2.0,4.0,Y,,,,,,
64.71354482470589,-148.29257355294118,2015-08-29,34,1,89.0,121.11764705882354,132.0,Minsley_2015,,10.3,,,,,,,
64.76545575051507,-148.27394543353475,2003-07-05,3,0,6.0,91.33333333333333,,Pastick,1.0,17.666666666666668,Y,,,,,,
64.75789482444164,-148.13941377962627,2002-07-09,5,0,0.0,105.2,,Pastick,7.0,8.0,N,,,,,,
64.75201704500004,-148.10730575306124,2015-08-29,98,1,98.83908045977012,115.91836734693878,132.0,Minsley_2015,,11.95,,,,,,,
64.76741329222784,-148.03728726407923,2002-06-14,5,0,21.4,70.6,,Pastick,4.0,13.4,N,,,,,,
64.7474997635692,-148.00805979314262,1997-07-24,11,0,23.272727272727273,122.18181818181819,,Pastick,7.0,11.090909090909092,N,,,,,,
64.82707782280647,-147.65058414463542,1997-08-18,2,0,0.0,150.0,,Pastick,1.0,0.0,N,,,,,,
64.81494746796997,-147.62286628385746,1997-08-07,3,0,0.0,131.66666666666666,,Pastick,1.0,1.3333333333333333,N,,,,,,
64.8549805893233,-147.6135779052715,1997-06-25,2,0,0.0,167.5,,Pastick,6.0,5.5,N,,,,,,
64.85996699834963,-147.64085183873436,1997-08-12,2,0,0.0,49.0,,Pastick,3.0,27.5,N,,,,,,
64.87136333965265,-147.72485279999998,2014-08-12,403,1,62.483812780237805,62.4838127802378,,Schaefer_2020,,,,,,,,,
64.91988813559321,-147.82074024576266,2019-09-04,118,1,91.75531914893617,73.47966101694915,0.3864406779661017,James_2020,,,,,,,,,
64.91490585805555,-147.84742026388892,2021-09-16,36,1,58.24242424242424,64.38888888888889,132.0,Minsley_2021,,,,,,,,,
64.91469723038364,-147.76842479633387,1999-06-10,2,0,0.0,52.0,,Pastick,9.0,10.5,N,,,,,,
65.61786630076922,-156.52849707307695,2018-07-08,26,1,,,,Koyukuk_2018,,,,,,,,,
65.63886975699998,-156.45602559,2018-07-08,20,1,,,,Koyukuk_2018,,,,,,,,,
65.648941181,-156.37281689000002,2018-07-08,10,1,,,,Koyukuk_2018,,,,,,,,,
65.67407149,-156.59590373333333,2018-07-08,3,1,,,,Koyukuk_2018,,,,,,,,,
65.68081908672728,-156.44605778000002,2018-07-08,55,0,,,,Koyukuk_2018,,,,,,,,,
65.68721185073171,-156.3729331219512,2018-07-08,41,0,,,,Koyukuk_2018,,,,,,,,,
65.72792297115384,-156.52851025,2018-07-08,26,0,,,,Koyukuk_2018,,,,,,,,,
65.72609454428571,-156.47653092857144,2018-07-08,7,0,,,,Koyukuk_2018,,,,,,,,,
65.7319030317647,-156.38413348823528,2018-07-08,17,1,67.57142857142857,67.57142857142857,100.0,Koyukuk_2018,,,,,,,,,
65.72498894555555,-156.2148391851852,2018-07-08,27,1,58.80555555555556,58.80555555555556,100.0,Koyukuk_2018,,,,,,,,,
65.75651627153846,-156.53009940512825,2018-07-08,39,1,,,,Koyukuk_2018,,,,,,,,,
65.77227026,-156.46078709375,2018-07-08,16,0,,,,Koyukuk_2018,,,,,,,,,
65.82207545733333,-156.35993577333335,2018-07-08,45,0,,,,Koyukuk_2018,,,,,,,,,
65.85356172181818,-156.33006222727275,2018-07-08,11,0,,,,Koyukuk_2018,,,,,,,,,
65.86362405344828,-156.25546080000004,2018-07-08,29,0,,,,Koyukuk_2018,,,,,,,,,
66.17172612285714,-150.2073255761905,2015-08-29,21,0,129.2,162.28571428571428,132.0,Minsley_2015,,8.904761904761905,,,,,,,
66.45471589285715,-150.5770707857143,2016-09-05,28,1,56.642857142857146,56.642857142857146,132.0,Minsley_2017,,25.384615384615383,,,,,,,
