source,N_pf_Y,N_pf_N,N_pf,bb_area_km2,N_alt
Jorgenson_Kanevskiy_2025,785,726,1511,15767368.19533178,757
Myers-Smith_2005,245,238,483,0.0004837904868903494,245
Daanen_2017,243,1,244,773.3730719953302,243
Ruess_2025,401,41,442,85500.55055569936,401
Walker_2022,1809,0,1809,8.38161924815217,1787
Douglas_Koyukuk_2022,16,29,45,169.95619342483027,0
Wagner_2019,71,72,143,0.7692674370971412,108
James_2020,95,45,140,531.2354695486268,105
James_2019,566,12,578,0.016205286111011474,578
Langer_etal_2020,284,8,292,4201266.24821354,284
Whitley_2018,339,154,493,7.32487820504235,339
Scheer_etal_2023,553,0,553,23.808930477838317,553
Zhao_2021,69,41,110,97980.38270808019,69
Wang_2018,566,62,628,1434510.5858797631,566
Talucci_2024,645,0,645,2080484.364172553,645
Cable_2017,19,0,19,3216.8509611896416,19
Jorgenson_Kanevskiy_2022_Gosling,15,6,21,0.0,15
Zhang_2019,193,22,215,4454.3874911219455,0
Hanston_etal_2024,533,13,546,4714.340504537121,0
Smith_Burgess_2000,88,9,97,14986602.400319826,88
Minsley_2021,61,18,79,1007.440842324727,61
Minsley_2017,315,101,416,42361.245301332856,335
Seward_2022,30,20,50,0.8795577934659133,30
Koyukuk_2018,152,220,372,541.0500606766832,0
Seward,466,404,870,3301.0351817282717,0
Peirce_2020,985,14,999,10.22832887323595,986
Jorgenson_Kanevskiy_2022_Jago,129,0,129,764445.6432674022,123
Jones_2025,195,7,202,2.382431836942721,195
Ebel_2018,6,5,11,18470.193073219012,0
Brown_etal_2000_calm,3582,5530,9112,9853759.100384893,3604
Natali_2023,2906,30,2936,763836.4399471369,2905
Jafarov_2016,2594,0,2594,27.244316155448974,2594
Schwenk_PFRR,82,3,85,0.7310815039674867,82
Patton_2021,11352,255,11607,1937.6781897145809,0
Hollingsworth_2005,102,44,146,187510.70234227122,102
Holloway_2019,78,63,141,38466.17227630068,71
Moore_et_al_2025,198682,268,198950,3387467.181938685,198682
Petrone_etal_2016,1433,0,1433,1.315855277077343,1433
Jones_Jones_2025,484,0,484,1.0171392301088025,0
Selawik,18,13,31,870.4307196756779,18
Bonaventure_Whati,83,62,145,51.07623976302721,0
Pastick,2216,5796,8012,139491710.72933966,2196
Minsley_2015,386,184,570,55583.88876309,386
Sadeghi_etal_2023,31,0,31,0.0,0
Smith_Burgess_2002,239,1,240,21627420.67900452,239
Obu_etal_2016,12,0,12,7.488526266664914,0
Chapin_2025,148,0,148,303829.9897277081,148
Bakian_Dogaheh_2020,503,0,503,4042.749572610155,495
